Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total,IOE
Australia,338,1236,663,801,472,461,728,679,444,778,1513,1557,867,245,906,1464,1026,1653,1557,1184,1658,20230,Import
Australia,,43,47,44,2,49,22,48,48,80,115,143,45,54,97,87,134,98,38,103,396,1692,Export
China,295,513,523,698,411,285,664,510,651,1137,1475,1271,1526,2067,1212,1780,2410,1438,1169,1472,760,22268,Export
China,2522,2816,2871,2333,3287,3558,2847,1639,1809,1368,981,1055,1571,1289,1077,1262,1139,1338,1962,1347,811,38881,Import
France,1079,1418,1428,1401,2301,1826,1664,2366,1978,1889,870,1735,1029,1493,1656,2043,2088,2359,1784,3269,1995,37669,Export
France,104,66,43,57,93,2,67,74,5,76,106,48,90,107,17,42,45,76,183,99,145,1544,Import
Germany,1615,902,912,1665,1105,2054,2707,3273,2368,2462,2666,1311,750,791,1790,1763,2506,1944,1070,978,1232,35865,Export
Germany,113,133,71,64,238,199,409,75,285,339,282,84,131,113,95,96,55,43,14,33,33,2904,Import
Greece,708,788,403,2170,1106,411,721,1703,483,1224,630,70,18,28,204,749,323,51,38,93,85,12009,Import
Greece,2,2,,6,22,13,23,,,,,,,,,,,30,,,17,115,Export
India,983,1193,2022,2741,2213,1198,1484,2275,1858,1863,2911,3598,4392,5381,3347,3117,3003,2909,1485,3075,2799,53845,Import
India,21,2,0,4,28,19,33,23,15,27,5,3,,15,36,42,46,56,44,18,151,588,Export
Israel,402,471,575,406,606,506,404,552,375,746,640,546,458,419,399,790,1464,1268,704,363,345,12438,Export
Israel,353,116,348,190,845,1133,1122,832,676,155,68,85,120,209,541,681,605,536,543,546,474,10179,Import
Pakistan,182,419,565,652,476,443,356,694,1070,1191,2205,1128,1014,1095,828,779,837,837,799,521,759,16849,Import
Pakistan,3,1,9,8,9,24,4,,1,,,,,,,,1,3,2,1,,66,Export
Russia,4486,5271,5730,5138,6252,5186,5126,5500,6175,5027,6214,8676,8180,7919,5469,5922,6790,6088,6753,5226,3203,124331,Export
Russia,,,,,,,4,90,,8,25,10,121,183,218,85,145,93,26,,,1007,Import
Saudi Arabia,85,61,567,167,1170,166,205,230,391,824,1083,1222,1033,1614,2740,3377,2961,3931,3315,3419,2466,31025,Import
Saudi Arabia,,,,,,,18,,,,1,62,,,,3,5,,,,,89,Export
South Korea,1397,772,528,752,1061,809,1653,1727,1686,794,1299,1570,1078,191,723,254,1058,1052,1100,1480,1317,22301,Import
South Korea,10,228,,98,73,108,158,280,109,224,198,350,224,349,207,94,480,742,1056,693,827,6507,Export
Turkey,1181,509,900,330,257,1095,531,692,640,732,485,780,1503,793,1524,438,328,428,487,754,86,14473,Import
Turkey,19,5,26,42,28,23,82,66,112,65,72,86,143,156,168,252,236,167,264,240,141,2395,Export
UAE,246,186,222,685,1216,2180,2033,929,758,602,644,1235,1154,2306,768,1224,956,966,1196,691,432,20627,Import
UAE,,,,,3,11,17,3,,34,39,3,69,106,77,135,102,104,121,135,191,1147,Export
United Kingdom,1630,1387,1100,754,1216,1060,997,984,987,1080,1157,1055,929,1608,1651,1180,1393,1237,703,907,429,23444,Export
United Kingdom,871,1275,720,775,218,32,328,796,496,376,493,366,583,494,211,397,259,1002,519,342,764,11316,Import
United States,7571,5589,4891,5664,6847,6787,7545,7864,6807,6879,8062,8940,9056,7485,9604,9937,9868,12070,9895,10788,9372,171522,Export
United States,336,499,511,610,578,537,646,832,967,977,1091,1012,1207,791,590,513,451,516,380,866,687,14596,Import
